1|7786,1329,,-3764,757,-229,-254,172,-6
1|104,0,0,0
0|-14073,-16126,804,1497,-3797,700,-220,-136,18,-254
1|0,0,0,0
0|-14559,-16209,576,1329,--3764,757,-229,-254,172,-6
1|104,0,0,0
0|-14073,-16126,804,1497,-3797,700,-220,-136,18,-254
1|0,0,0,0
0|-14559,-16209,576,1329,--3764,757,-229,-254,172,-6
1|104,0,0,0
0|-14073,-16126,804,1497,-3797,700,-220,-136,18,-254
1|0,0,0,0
0|-14559,-16209,576,1329,-2716,-1|0,0,0,0
0|-14401,-16113,735,1231,-3792,690,-322,-137,-338,114
1|0,0,0,0
0|-14591,-16063,630,1166,-3792,686,-292,91,-348,242
1|0,0,0,0
0|-14247,-15990,989,1224,-3757,852,-286,-137,-2191,1819
1|63,0,0,0
0|-14205,-15782,1552,-705,-3240,1388,338,-2250,10662,-3862
1|268,0,0,0
0|-14163,-14118,996,103,-2047,870,-1494,-2061,326,-823
1|0,0,0,0
0|-14025,-16025,-585,-1055,-1781,1025,-1047,-4924,-2633,-700
1|60,0,0,0
0|-14284,-16030,-79,1660,-1837,1025,-727,917,-1923,155
1|274,0,0,0
0|-14374,-16043,-22,2976,-1912,958,-564,140,-3647,818
1|16,0,0,0
0|-14586,-15025,2360,7126,-1744,1215,-199,-1295,-8712,3276
1|85,0,0,0
0|-13761,-14533,3914,7704,-1298,1581,-188,-3053,13202,-1798
1|241,0,0,0
0|-14189,-16919,2453,1569,-391,1589,-1153,-2734,9760,-5048
1|85,0,0,0
0|-13877,-15506,1302,-361,-97,1712,-682,438,-8536,-1197
1|0,0,0,0
0|-14221,-15898,-1487,766,-177,1594,-635,-2230,-1976,-557
1|0,0,0,0
0|-14490,-16316,360,2575,-264,1602,-536,5054,-2811,-98
1|37,0,0,0
0|-14417,-17079,-3200,5296,-229,1561,-565,-116,-4887,1358
1|35,0,0,0
0|-13983,-14012,3162,10844,-85,1393,-571,8079,-8937,-1027
1|61,0,0,0
0|-13914,-17565,1429,5165,519,776,-609,-3228,13867,-5455
1|281,0,0,0
0|-14068,-14018,609,3907,673,1529,-82,-3536,-3549,-94
1|156,0,0,0
